year,date,median,low,high
2020,2020-09-03,9,0,213
2020,2020-09-04,10,0,244
2020,2020-09-05,8,0,272
2020,2020-09-06,6,0,205
2020,2020-09-07,6,0,239
2020,2020-09-08,10,0,196
2020,2020-09-09,10,0,219
2020,2020-09-10,8,0,204
2020,2020-09-11,10,0,261
2020,2020-09-12,9,0,282
2020,2020-09-13,7,0,247
2020,2020-09-14,9,0,206
2020,2020-09-15,9,0,203
2020,2020-09-16,9,0,203
2020,2020-09-17,9,0,177
2020,2020-09-18,9,0,206
2020,2020-09-19,8,0,323
2020,2020-09-20,6,0,246
2020,2020-09-21,8,0,168
2020,2020-09-22,10,0,160
2020,2020-09-23,9,0,192
2020,2020-09-24,9,0,202
2020,2020-09-25,11,0,250
2020,2020-09-26,11,0,390
2020,2020-09-27,7,0,255
2020,2020-09-28,6,0,249
2020,2020-09-29,8,0,184
2020,2020-09-30,9,0,182
2020,2020-10-01,9,0,196
2020,2020-10-02,10,0,228
2020,2020-10-03,11,0,373
2020,2020-10-04,6,0,256
2020,2020-10-05,8,0,221
2020,2020-10-06,10,0,178
2020,2020-10-07,9,0,175
2020,2020-10-08,10,0,191
2020,2020-10-09,10,0,236
2020,2020-10-10,9,0,330
2020,2020-10-11,7,0,248
2020,2020-10-12,6,0,251
2020,2020-10-13,9,0,177
2020,2020-10-14,10,0,182
2020,2020-10-15,10,0,180
2020,2020-10-16,8,0,198
2020,2020-10-17,9,0,392
2020,2020-10-18,7,0,273
2020,2020-10-19,8,0,171
2020,2020-10-20,9,0,175
2020,2020-10-21,9,0,167
2020,2020-10-22,12,0,179
2020,2020-10-23,12,0,215
2020,2020-10-24,9,0,364
2020,2020-10-25,7,0,267
2020,2020-10-26,10,0,170
2020,2020-10-27,10,0,195
2020,2020-10-28,11,0,171
2020,2020-10-29,8,0,167
2020,2020-10-30,10,0,249
2020,2020-10-31,9,0,306
2020,2020-11-01,6,0,246
2020,2020-11-02,10,0,178
2020,2020-11-03,9,0,172
2020,2020-11-04,10,0,173
2020,2020-11-05,10,0,158
2020,2020-11-06,9,0,207
2020,2020-11-07,9,0,302
2020,2020-11-08,7,0,258
2020,2020-11-09,8,0,165
2020,2020-11-10,9,0,155
2020,2020-11-11,8,0,300
2020,2020-11-12,9,0,178
2020,2020-11-13,9,0,241
2020,2020-11-14,9,0,354
2020,2020-11-15,6,0,308
2020,2020-11-16,8,0,181
2020,2020-11-17,9,0,165
2020,2020-11-18,9,0,188
2020,2020-11-19,9,0,193
2020,2020-11-20,10,0,225
2020,2020-11-21,7,0,383
2020,2020-11-22,6,0,286
2020,2020-11-23,8,0,198
2020,2020-11-24,9,0,195
2020,2020-11-25,8,0,211
2020,2020-11-26,2,0,39
2020,2020-11-27,9,0,641
2020,2020-11-28,7,0,416
2020,2020-11-29,7,0,308
